,Country,EdLevel,YearsCodePro,ConvertedCompYearly
32922,France,No bachelors,25,58373
32923,United States of America,Bachelors,5,145000
32924,United States of America,No bachelors,0.5,71500
32925,Brazil,No bachelors,3,17316
32926,Other,Bachelors,6,81074
32927,Germany,No bachelors,11,70264
32928,United States of America,No bachelors,0.5,52000
32929,Brazil,No bachelors,6,22907
32930,Other,Bachelors,5,11868
32931,United States of America,Bachelors,2,105000
32932,United States of America,No bachelors,14,85000
32933,France,No bachelors,15,75669
32934,United States of America,No bachelors,25,175000
32935,United States of America,Bachelors,20,72000
32936,United States of America,Bachelors,31,160000
32937,Other,No bachelors,10,71256
32938,United Kingdom,No bachelors,4,64630
32939,United States of America,Bachelors,10,171000
32940,France,No bachelors,13,62916
32941,United States of America,No bachelors,21,140000
32942,United States of America,No bachelors,9,120190
32943,United States of America,Bachelors,1,66000
32944,United States of America,No bachelors,5,200000
32945,Canada,Bachelors,8,120000
32946,Russia,No bachelors,5,31455
32947,United Kingdom,Bachelors,14,90482
32948,Other,No bachelors,20,51960
32949,Germany,Bachelors,12,92964
32950,Poland,No bachelors,3,45864
32951,Other,No bachelors,3,19392
32952,United States of America,No bachelors,13,213000
32953,United States of America,Bachelors,3,110000
32954,Other,Bachelors,3,17652
32955,United States of America,Bachelors,1,52000
32956,United States of America,No bachelors,15,210000
32957,Other,Bachelors,14,31140
32958,Germany,No bachelors,17,64859
32959,United States of America,No bachelors,2,100000
32960,Russia,No bachelors,20,56616
32961,Russia,Post-grad,18,94368
32962,United Kingdom,No bachelors,3,67215
32963,Turkey,Bachelors,7,128208
32964,United States of America,Bachelors,14,125000
32965,Other,Bachelors,14,71340
32966,United States of America,No bachelors,15,150000
32967,United States of America,Bachelors,4,90000
32968,France,No bachelors,20,86478
32969,Other,No bachelors,5,14832
32970,United Kingdom,No bachelors,16,81433
32971,Other,No bachelors,2,13416
32972,Other,No bachelors,17,27565
32973,Spain,No bachelors,29,42158
32974,Sweden,No bachelors,17,71184
32975,Other,Bachelors,2,19392
32976,Other,Bachelors,1,25800
32977,France,Post-grad,17,140527
32978,Germany,Bachelors,10,129718
32979,Brazil,No bachelors,5,229069
32980,Brazil,No bachelors,9,137436
32981,United Kingdom,No bachelors,3,71093
32982,Other,No bachelors,13,97288
32983,Other,No bachelors,4,15888
32984,United States of America,No bachelors,7,101000
32985,United States of America,No bachelors,12,240000
32986,Other,Bachelors,18,100074
32987,India,Bachelors,6,14660
32988,Other,Bachelors,6,45912
32989,United States of America,Bachelors,4,150000
32990,Other,Bachelors,6,53919
32991,United States of America,No bachelors,15,125000
32992,United States of America,Bachelors,6,91780
32993,Other,Bachelors,4,14124
32994,Russia,Bachelors,13,56616
32995,United States of America,Bachelors,2,53000
32996,United States of America,No bachelors,40,125000
32997,Brazil,No bachelors,6,14040
32998,United States of America,Bachelors,2,68200
32999,Other,No bachelors,2,17652
33000,Brazil,Bachelors,3,13740
33001,Sweden,No bachelors,4,40910
33002,United States of America,No bachelors,36,140000
33003,United States of America,Post-grad,30,85000
33004,Brazil,Bachelors,1,10992
33005,United States of America,No bachelors,5,28920
33006,United Kingdom,Post-grad,20,135722
33007,India,Bachelors,3,12566
33008,Russia,No bachelors,4,62280
33009,Canada,Bachelors,13,105884
33010,Other,Bachelors,4,72048
33011,United States of America,Bachelors,25,182000
33012,Russia,Bachelors,10,66060
33013,Brazil,No bachelors,16,41232
33014,United States of America,Bachelors,10,96000
33015,Russia,No bachelors,9,56436
33016,Switzerland,No bachelors,20,132143
33017,Germany,Bachelors,2,37834
33018,United States of America,Bachelors,10,160000
33019,Germany,No bachelors,4,32424
33020,Other,No bachelors,2,20600
33021,Other,Bachelors,3,33732
33022,United States of America,Bachelors,1,50000
33023,United States of America,No bachelors,10,132000
33024,United States of America,Bachelors,5,150000
33025,Other,Bachelors,2,10596
33026,Sweden,Bachelors,14,66888
33027,Switzerland,No bachelors,15,137226
33028,Other,No bachelors,24,15888
33029,Canada,Post-grad,8,128573
33030,United States of America,No bachelors,21,207000
33031,United States of America,No bachelors,15,125000
33032,United States of America,Bachelors,10,99000
33033,United States of America,No bachelors,25,180000
33034,United States of America,Bachelors,5,117000
33035,Other,No bachelors,11,111984
33036,United Kingdom,Bachelors,4,90482
33037,United States of America,No bachelors,8,130000
33038,United Kingdom,No bachelors,11,80141
33039,Other,No bachelors,13,28248
33040,Germany,No bachelors,2,64859
33041,United States of America,Bachelors,23,120000
33042,Germany,No bachelors,4,41508
33043,Other,Bachelors,32,76831
33044,France,No bachelors,2,54049
33045,United States of America,Bachelors,4,100000
33046,Germany,No bachelors,3,86478
33047,United States of America,Bachelors,8,142000
33048,Germany,No bachelors,3,64859
33049,India,Bachelors,0.5,11169
33050,United States of America,Bachelors,14,100000
33051,Switzerland,Post-grad,10,105715
33052,United States of America,No bachelors,37,210000
33053,Canada,Bachelors,33,127061
33054,United States of America,No bachelors,16,150000
33055,United States of America,Bachelors,1,76500
33056,Turkey,Bachelors,9,105000
33057,United States of America,Bachelors,3,78045
33058,United States of America,Bachelors,6,95000
33059,Other,Bachelors,18,80064
33060,Germany,No bachelors,25,86478
33061,United States of America,Bachelors,15,130000
33062,United States of America,No bachelors,25,90000
33063,Other,No bachelors,10,97288
33064,Germany,No bachelors,7,64859
33065,United States of America,No bachelors,45,100000
33066,Other,Bachelors,1,16800
33067,United States of America,Bachelors,1,75000
33068,Germany,No bachelors,2,48644
33069,United States of America,Bachelors,4,120000
33070,Germany,Bachelors,7,39726
33071,United States of America,Bachelors,6,100000
33072,United States of America,Bachelors,7,103000
33073,Other,Bachelors,2,22848
33074,United States of America,Bachelors,4,108000
33075,Germany,No bachelors,7,167552
33076,United Kingdom,No bachelors,8,64630
33077,United States of America,Bachelors,3,75705
33078,France,No bachelors,1,32429
33079,Other,Bachelors,1,13572
33080,United States of America,Post-grad,17,155000
33081,United States of America,Bachelors,12,77295
33082,United States of America,Bachelors,10,200000
33083,United States of America,Bachelors,25,180000
33084,Canada,Bachelors,4,63530
33085,United States of America,No bachelors,16,210000
33086,Other,Bachelors,15,26928
33087,Canada,Bachelors,4,113976
33088,United States of America,No bachelors,1,75000
33089,United Kingdom,No bachelors,2,67861
33090,Other,No bachelors,20,129720
33091,United States of America,Bachelors,5,72000
33092,United States of America,Bachelors,4,130000
33093,Australia,Bachelors,15,95538
33094,United States of America,Bachelors,15,185000
33095,United States of America,Bachelors,1,146000
33096,Other,Bachelors,0.5,14220
33097,United States of America,Bachelors,2,144000
33098,Other,No bachelors,1,51960
33099,Australia,Bachelors,6,66810
33100,Other,Bachelors,9,13860
33101,United States of America,No bachelors,7,180000
33102,Canada,Bachelors,0.5,52942
33103,United States of America,Bachelors,15,110000
33104,United States of America,Bachelors,12,200000
33105,United States of America,Bachelors,3,125000
33106,United States of America,Bachelors,4,113300
33107,Other,No bachelors,8,36372
33108,United States of America,No bachelors,1,100000
33109,Brazil,No bachelors,5,35736
33110,United States of America,Bachelors,5,60000
33111,United States of America,Bachelors,3,108000
33112,United States of America,Bachelors,20,100000
33113,United Kingdom,No bachelors,5,96945
33114,United States of America,Bachelors,3,86500
33115,United States of America,Post-grad,2,200000
33116,United States of America,Bachelors,7,150000
33117,Other,Bachelors,21,52968
33118,United States of America,No bachelors,5,90000
33119,Other,No bachelors,7,59160
33120,United States of America,No bachelors,5,153000
33121,Brazil,Bachelors,5,27024
33122,Brazil,Bachelors,8,50395
33123,United States of America,Bachelors,20,150000
33124,United States of America,No bachelors,8,200000
33125,United States of America,Bachelors,8,160000
33126,United States of America,Post-grad,10,200000
33127,Other,Bachelors,5,18487
33128,United States of America,Bachelors,5,140000
33129,United States of America,No bachelors,5,59400
33130,Other,Bachelors,1,14124
33131,Australia,No bachelors,6,73491
33132,United States of America,Bachelors,23,150000
33133,Australia,No bachelors,11,40100
33134,Other,No bachelors,7,57600
33135,Other,Bachelors,12,114924
33136,United States of America,Bachelors,5,137000
33137,Other,Bachelors,0.5,14413
33138,Other,No bachelors,13,59381
33139,United States of America,Bachelors,7,57600
33140,United States of America,Bachelors,1,80000
33141,Other,Bachelors,2,14376
33142,United States of America,Bachelors,8,160000
33143,Other,No bachelors,2,33084
33144,United States of America,Bachelors,12,120000
33145,Other,Bachelors,6,84908
33146,Other,Post-grad,14,70279
33147,Other,Bachelors,10,114000
33148,United States of America,Bachelors,3,69000
33149,Other,No bachelors,4,33780
33150,United States of America,Bachelors,7,200000
33151,United States of America,No bachelors,4,135632
33152,Canada,No bachelors,16,136136
33153,United States of America,Bachelors,13,114000
33154,Other,Bachelors,27,108613
33155,Other,Bachelors,2,23064
33156,Other,Bachelors,4,34476
33157,Other,No bachelors,20,86844
33158,United States of America,No bachelors,7,120000
33159,Other,Bachelors,1,79604
33160,United Kingdom,Bachelors,30,155111
33161,Other,No bachelors,15,51384
33162,Germany,No bachelors,35,129718
33163,Russia,No bachelors,9,28800
33164,United States of America,Post-grad,5,120000
33165,United States of America,Bachelors,3,57500
33166,India,No bachelors,20,65899
33167,Other,No bachelors,10,47736
33168,Other,No bachelors,11,63600
33169,Germany,No bachelors,17,216196
33170,United Kingdom,No bachelors,21,116333
33171,India,Bachelors,2,27648
33172,Russia,No bachelors,3,18876
33173,United States of America,Bachelors,1,130000
33174,Other,Bachelors,2,29676
33175,United States of America,No bachelors,10,110000
33176,Australia,Bachelors,4,93533
33177,Other,No bachelors,3,22476
33178,Australia,No bachelors,17,113576
33179,Netherlands,No bachelors,12,118908
33180,Other,Bachelors,3,36228
33181,Other,Bachelors,12,44900
33182,Other,Bachelors,7,14256
33183,Other,No bachelors,6,40404
33184,United States of America,Bachelors,4,111000
33185,Other,No bachelors,10,57732
33186,Russia,Bachelors,17,56616
33187,Other,Bachelors,12,24000
33188,France,No bachelors,4,33510
33189,Poland,No bachelors,10,56196
33190,Other,Bachelors,19,12000
33191,Other,No bachelors,3,12972
33192,India,Bachelors,10,25131
33193,Other,Bachelors,5,13068
33194,Poland,Bachelors,3,36444
33195,Other,No bachelors,4,42756
33196,Germany,No bachelors,2,33732
33197,Other,No bachelors,0.5,20760
33198,United States of America,Bachelors,6,135000
33199,United Kingdom,Bachelors,5,38778
33200,Germany,No bachelors,25,58368
33201,Other,Bachelors,2,23088
33202,Israel,No bachelors,4,157596
33203,United States of America,Bachelors,1,99000
33204,India,Bachelors,1,15358
33205,Netherlands,Bachelors,5,38916
33206,Switzerland,Bachelors,8,115880
33207,Other,Bachelors,4,12720
33208,Sweden,No bachelors,30,58908
33209,Other,No bachelors,6,53184
33210,United Kingdom,No bachelors,2,72385
33211,Other,No bachelors,8,57000
33212,United Kingdom,Bachelors,5,129259
33213,Other,Bachelors,5,25872
33214,United States of America,No bachelors,5,130000
33215,Other,No bachelors,10,129718
33216,Germany,Bachelors,6,68102
33217,Germany,No bachelors,21,105936
33218,France,No bachelors,8,62150
33219,Other,Bachelors,5,76860
33220,India,Bachelors,8,16752
33221,United Kingdom,No bachelors,3,96945
33222,Germany,No bachelors,8,64859
33223,United Kingdom,Bachelors,3,54288
33224,Other,No bachelors,4,35028
33225,Other,Bachelors,5,25944
33226,Other,Bachelors,7,45401
33227,Other,No bachelors,0.5,36324
33228,Other,No bachelors,10,12936
33229,Australia,Bachelors,13,76831
33230,Netherlands,Bachelors,15,71340
33231,United Kingdom,Bachelors,1,36193
33232,Other,Bachelors,11,75240
33233,India,Bachelors,4,36300
33234,Poland,Bachelors,10,16704
33235,United Kingdom,Post-grad,10,155111
33236,India,Bachelors,1,23735
33237,Other,No bachelors,8,64859
33238,Other,No bachelors,4,54036
33239,Other,Bachelors,2,12372
33240,Other,Bachelors,9,12840
33241,United Kingdom,No bachelors,2,104700
33242,Sweden,Post-grad,12,63204
33243,United States of America,No bachelors,30,220000
33244,Other,No bachelors,5,34500
33245,Spain,No bachelors,30,20760
33246,Spain,No bachelors,5,41077
33247,India,Bachelors,4,15084
33248,Other,No bachelors,2,79896
33249,Germany,No bachelors,30,65940
33250,United Kingdom,Bachelors,1,51704
33251,Other,No bachelors,5,11520
33252,Other,Bachelors,0.5,15924
33253,United Kingdom,Bachelors,0.5,57133
33254,Germany,Bachelors,15,84019
33255,Germany,Bachelors,0.5,51888
33256,Other,Bachelors,2,10992
33257,United Kingdom,Bachelors,2,86604
33258,Israel,No bachelors,4,108564
33259,Israel,Post-grad,21,163438
33260,Other,Bachelors,10,75240
33261,Other,Bachelors,4,35628
33262,India,No bachelors,4,12566
33263,India,Bachelors,6,55847
33264,Spain,No bachelors,0.5,16215
33265,India,No bachelors,4,10152
33266,Turkey,Bachelors,11,58514
33267,Russia,No bachelors,3,24540
33268,Poland,No bachelors,20,75937
33269,Russia,No bachelors,2,32088
33270,Other,Bachelors,5,42756
33271,Italy,No bachelors,2,35672
33272,India,No bachelors,15,36300
33273,Other,No bachelors,5,41568
33274,United Kingdom,No bachelors,0.5,51704
33275,United Kingdom,Post-grad,5,116333
33276,Other,No bachelors,15,150000
33277,Other,Bachelors,2,56964
33278,Other,Post-grad,4,26124
33279,Canada,Bachelors,14,75631
33280,Other,Bachelors,2,48036
33281,France,No bachelors,40,129718
33282,Turkey,Bachelors,4,31560
33283,India,No bachelors,10,22339
33284,United Kingdom,No bachelors,11,219741
33285,Other,No bachelors,8,49296
33286,Other,Bachelors,10,55164
33287,Other,No bachelors,16,25248
33288,Other,No bachelors,7,16404
33289,France,No bachelors,2,16860
33290,Other,No bachelors,18,70264
33291,Other,Bachelors,5,42031
33292,United States of America,No bachelors,15,80000
33293,United Kingdom,No bachelors,7,96945
33294,Other,No bachelors,11,39228
33295,Canada,Bachelors,2,75631
33296,Germany,No bachelors,5,51887
33297,France,No bachelors,0.5,19452
33298,Other,Bachelors,3,10668
33299,United States of America,No bachelors,44,140000
33300,Italy,No bachelors,4,22056
33301,Russia,No bachelors,7,26424
33302,Other,No bachelors,11,58728
33303,United Kingdom,Bachelors,5,109871
33304,India,Bachelors,3,21636
33305,Australia,No bachelors,29,160343
33306,Other,No bachelors,5,23352
33307,Italy,Bachelors,6,43239
33308,United States of America,No bachelors,13,138000
33309,Germany,No bachelors,5,62697
33310,Brazil,Bachelors,9,17868
33311,India,Bachelors,5,19546
33312,United States of America,No bachelors,12,112500
33313,United Kingdom,Bachelors,3,31022
33314,Other,No bachelors,10,26520
33315,United States of America,No bachelors,40,76000
33316,United States of America,No bachelors,20,215000
33317,United States of America,Bachelors,20,140000
33318,Germany,Bachelors,3,55130
33319,India,Bachelors,6,234552
33320,Italy,Bachelors,2,18804
33321,France,No bachelors,6,81074
33322,Russia,No bachelors,21,41520
33323,United States of America,No bachelors,6,102000
33324,Brazil,Bachelors,15,54972
33325,India,No bachelors,20,55847
33326,Other,Bachelors,6,17772
33327,Poland,Bachelors,2,18228
33328,Germany,No bachelors,12,75669
33329,United Kingdom,No bachelors,4,58167
33330,United States of America,Bachelors,26,145000
33331,Italy,No bachelors,8,35672
33332,Germany,Bachelors,7,60427
33333,Other,No bachelors,9,75669
33334,Germany,Bachelors,1,48644
33335,United States of America,Bachelors,15,150000
33336,United States of America,Post-grad,36,200000
33337,Norway,No bachelors,0.5,56106
33338,India,Bachelors,16,86004
33339,India,Bachelors,6,36300
33340,Other,Bachelors,17,30732
33341,Israel,Bachelors,8,140088
33342,India,Bachelors,4,16754
33343,United States of America,No bachelors,8,100000
33344,Other,No bachelors,11,72966
33345,United States of America,No bachelors,15,195000
33346,Other,No bachelors,1,24000
33347,United Kingdom,No bachelors,7,109871
33348,Spain,No bachelors,25,64859
33349,Netherlands,No bachelors,0.5,33336
33350,Other,No bachelors,14,23736
33351,United States of America,Post-grad,11,100000
33352,Brazil,Bachelors,13,74447
33353,Canada,Bachelors,15,117229
33354,Turkey,No bachelors,8,98616
33355,United States of America,Bachelors,36,163000
33356,Turkey,Bachelors,1,55800
33357,United States of America,No bachelors,2,126500
33358,Canada,Post-grad,7,121010
33359,Other,No bachelors,5,59454
33360,United States of America,Bachelors,2,88000
33361,India,Bachelors,14,111694
33362,United States of America,Bachelors,2,82000
33363,Other,Bachelors,22,39360
33364,United States of America,Bachelors,2,51000
33365,France,No bachelors,24,62537
33366,Other,Bachelors,1,14928
33367,United Kingdom,No bachelors,6,48472
33368,United States of America,Bachelors,2,30000
33369,India,Bachelors,5,21641
33370,Netherlands,No bachelors,5,64859
33371,United States of America,Bachelors,3,97400
33372,Other,Bachelors,3,129718
33373,United States of America,Bachelors,0.5,160000
33374,Spain,Bachelors,1,24863
33375,United Kingdom,No bachelors,2,71093
33376,United Kingdom,Bachelors,3,76909
33377,United States of America,Bachelors,11,98000
33378,United States of America,Bachelors,0.5,120000
33379,Israel,Bachelors,1,70044
33380,United States of America,No bachelors,2,65000
33381,France,No bachelors,5,59454
33382,United Kingdom,Bachelors,3,43948
33383,Other,No bachelors,4,27144
33384,Switzerland,No bachelors,1,93517
33385,India,Bachelors,10,58644
33386,United States of America,No bachelors,40,111600
33387,United States of America,No bachelors,6,175000
33388,United States of America,Bachelors,17,164000
33389,Poland,Bachelors,0.5,10020
33390,Brazil,No bachelors,10,60000
33391,United Kingdom,Bachelors,23,90482
33392,Brazil,Bachelors,14,23364
33393,United States of America,Bachelors,2,39520
33394,France,Post-grad,16,32424
33395,India,No bachelors,8,53055
33396,United Kingdom,No bachelors,39,72385
33397,United Kingdom,Post-grad,15,62040
33398,Other,Bachelors,5,22872
33399,India,No bachelors,9,36300
33400,India,Bachelors,7,14244
33401,India,Bachelors,1,23037
33402,United States of America,No bachelors,3,85000
33403,Russia,No bachelors,10,22644
33404,United Kingdom,Bachelors,20,62045
33405,Other,Bachelors,6,48000
33406,Poland,No bachelors,2,20508
33407,India,No bachelors,12,30716
33408,Germany,No bachelors,12,81074
33409,United States of America,No bachelors,8,120000
33410,United Kingdom,Bachelors,18,64630
33411,Canada,No bachelors,0.5,49160
33412,Spain,Bachelors,15,54049
33413,United States of America,Bachelors,3,110000
33414,Other,Bachelors,2,29856
33415,Other,Bachelors,0.5,13944
33416,United States of America,Bachelors,3,70000
33417,Other,No bachelors,16,71340
33418,United States of America,No bachelors,12,200000
33419,United States of America,No bachelors,6,90000
33420,United States of America,Bachelors,23,133000
33421,Germany,No bachelors,6,57292
33422,United Kingdom,Bachelors,1,26364
33423,Poland,No bachelors,3,31896
33424,Poland,Bachelors,0.5,11844
33425,Other,No bachelors,7,51960
33426,United States of America,Bachelors,2,250000
33427,United States of America,No bachelors,6,120000
33428,United Kingdom,No bachelors,5,90482
33429,Brazil,No bachelors,7,27492
33430,United States of America,No bachelors,15,115000
33431,Brazil,No bachelors,10,10992
33432,United States of America,Bachelors,20,140000
33433,Switzerland,No bachelors,3,102665
33434,Poland,No bachelors,1,30372
33435,United States of America,Bachelors,28,172000
33436,Sweden,No bachelors,3,35592
33437,Other,No bachelors,2,72000
33438,United Kingdom,No bachelors,1,23267
33439,United States of America,Post-grad,8,100000
33440,Germany,No bachelors,11,70264
33441,United States of America,No bachelors,0.5,150000
33442,Italy,No bachelors,7,19452
33443,United Kingdom,No bachelors,6,54289
33444,Other,No bachelors,16,68102
33445,Australia,Bachelors,4,110904
33446,Turkey,Bachelors,10,10848
33447,United States of America,Bachelors,35,145000
33448,Brazil,No bachelors,3,16488
33449,United Kingdom,No bachelors,21,71093
33450,United Kingdom,Bachelors,14,77556
33451,Germany,No bachelors,7,75669
33452,United States of America,Bachelors,1,63000
33453,Israel,Bachelors,41,240000
33454,United States of America,Bachelors,9,143000
33455,Other,No bachelors,5,25308
33456,Other,Bachelors,13,29832
33457,United Kingdom,No bachelors,3,28566
33458,Other,Bachelors,5,13099
33459,United States of America,Bachelors,5,170000
33460,United States of America,No bachelors,27,140000
33461,Italy,No bachelors,4,43239
33462,Other,Bachelors,6,43092
33463,United States of America,Bachelors,3,150000
33464,Canada,No bachelors,8,105884
33465,Germany,Bachelors,7,45396
33466,United States of America,Bachelors,0.5,60000
33467,United States of America,Bachelors,10,250000
33468,United States of America,No bachelors,8,160000
33469,United States of America,No bachelors,6,100000
33470,Poland,No bachelors,4,30372
33471,Other,No bachelors,4,40128
33472,Netherlands,No bachelors,7,44100
33473,United States of America,No bachelors,24,140000
33474,Other,Bachelors,4,55670
33475,Other,No bachelors,0.5,33142
33476,Australia,Bachelors,3,56788
33477,Australia,No bachelors,11,83512
33478,United States of America,Bachelors,2,160000
33479,United States of America,Bachelors,6,120000
33480,United States of America,Bachelors,4,60000
33481,Norway,Bachelors,24,97106
33482,India,Bachelors,7,12564
33483,Russia,No bachelors,4,37752
33484,Russia,No bachelors,9,128400
33485,Brazil,No bachelors,9,24744
33486,United States of America,No bachelors,17,150000
33487,Australia,Bachelors,25,133619
33488,United States of America,No bachelors,38,150000
33489,Canada,No bachelors,11,94539
33490,United Kingdom,Bachelors,5,71093
33491,Poland,No bachelors,4,45241
33492,Other,Bachelors,9,22800
33493,Other,No bachelors,5,60000
33494,United States of America,Bachelors,10,110000
33495,United States of America,Bachelors,15,113000
33496,Netherlands,Bachelors,2,36324
33497,United States of America,Bachelors,4,220000
33498,Other,No bachelors,13,76668
33499,Other,Bachelors,7,21600
33500,United States of America,Bachelors,6,80000
33501,United States of America,Bachelors,6,100000
33502,Canada,Bachelors,1,52942
33503,United States of America,Bachelors,8,125000
33504,United States of America,Bachelors,2,77000
33505,United States of America,No bachelors,13,152500
33506,Other,No bachelors,6,24000
33507,United States of America,Bachelors,6,180000
33508,United States of America,Post-grad,0.5,120000
33509,United States of America,No bachelors,3,85000
33510,Canada,No bachelors,1,36681
33511,India,Bachelors,8,36864
33512,Other,No bachelors,20,80940
33513,Other,Bachelors,12,44405
33514,Other,No bachelors,11,70279
33515,Other,No bachelors,8,43239
33516,Australia,Post-grad,23,117050
33517,United States of America,No bachelors,39,132000
33518,Norway,No bachelors,14,49092
33519,United States of America,Bachelors,17,80000
33520,Other,No bachelors,6,21288
33521,United States of America,Bachelors,4,82000
33522,Australia,Bachelors,3,86853
33523,United States of America,Bachelors,1,90000
33524,India,Bachelors,11,41880
33525,Other,Bachelors,18,116908
33526,United Kingdom,No bachelors,10,51704
33527,Israel,No bachelors,4,105072
33528,India,Bachelors,3,12564
33529,Australia,Bachelors,25,88189
33530,Other,Post-grad,5,19116
33531,Netherlands,Bachelors,11,162147
33532,India,Bachelors,2,20943
33533,Other,Bachelors,10,14412
33534,United States of America,No bachelors,1,160000
33535,Other,No bachelors,3,15012
33536,Germany,No bachelors,5,77832
33537,India,No bachelors,10,55847
33538,Other,No bachelors,7,79800
33539,Italy,No bachelors,12,43239
33540,Australia,Bachelors,2,92398
33541,United States of America,Bachelors,10,102000
33542,Netherlands,No bachelors,15,84312
33543,India,Bachelors,1,12915
33544,Canada,Bachelors,1,98321
33545,Canada,No bachelors,0.5,34800
33546,Other,Bachelors,10,60958
33547,Other,Bachelors,3,51888
33548,Other,No bachelors,11,75669
33549,Australia,Bachelors,0.5,66810
33550,Other,Bachelors,8,91883
33551,Israel,No bachelors,7,80556
33552,Other,Bachelors,0.5,23064
33553,Other,Bachelors,8,60000
33554,United Kingdom,No bachelors,2,38778
33555,Other,Bachelors,20,66716
33556,Other,Bachelors,5,38916
33557,Other,Bachelors,8,64860
33558,India,No bachelors,10,27923
33559,Switzerland,Bachelors,10,96550
33560,Other,No bachelors,5,15648
33561,Germany,No bachelors,10,75669
33562,Other,No bachelors,2,28536
33563,Other,No bachelors,5,22644
33564,Other,No bachelors,10,73788
33565,Israel,Post-grad,4,122580
33566,India,Bachelors,5,13404
33567,Sweden,Bachelors,17,55224
33568,United Kingdom,Bachelors,41,67215
33569,Other,Bachelors,4,28578
33570,Israel,Bachelors,9,105072
33571,Other,No bachelors,2,27348
33572,Netherlands,Bachelors,4,44676
33573,India,Bachelors,9,12564
33574,Other,No bachelors,10,41919
33575,Israel,Bachelors,2,70044
33576,Turkey,No bachelors,3,19728
33577,Australia,Bachelors,15,66810
33578,Other,No bachelors,12,55776
33579,India,Bachelors,2,117276
33580,Germany,Bachelors,13,97288
33581,Other,No bachelors,5,70000
33582,Spain,Bachelors,6,91883
33583,Israel,No bachelors,1,52536
33584,Israel,No bachelors,22,213636
33585,Other,Bachelors,7,77556
33586,Norway,No bachelors,25,86316
33587,India,Bachelors,13,16752
33588,Other,Bachelors,5,13620
33589,Other,Bachelors,2,28536
33590,Other,Bachelors,3,20700
33591,Other,Post-grad,5,54049
33592,Italy,Post-grad,21,105936
33593,Germany,No bachelors,13,70044
33594,Germany,No bachelors,8,99991
33595,Other,No bachelors,5,15564
33596,United States of America,Bachelors,3,145000
33597,Other,Bachelors,2,46100
33598,United Kingdom,No bachelors,17,148648
33599,Spain,No bachelors,0.5,20760
33600,Other,No bachelors,0.5,18156
33601,Other,Bachelors,4,71850
33602,Canada,Post-grad,26,84707
33603,Israel,No bachelors,3,63036
33604,Other,Bachelors,4,19200
33605,Other,No bachelors,10,120865
33606,Other,No bachelors,5,32101
33607,India,No bachelors,11,25131
33608,Canada,Bachelors,26,151263
33609,United Kingdom,Post-grad,12,174500
33610,Other,Bachelors,4,57588
33611,Germany,Post-grad,3,31128
33612,Other,Bachelors,3,32712
33613,Turkey,Bachelors,0.5,18732
33614,Australia,Bachelors,25,96874
33615,Other,No bachelors,9,41328
33616,Other,No bachelors,8,108098
33617,India,No bachelors,7,13404
33618,Russia,Bachelors,35,37752
33619,United Kingdom,No bachelors,6,29471
33620,Turkey,Bachelors,7,13416
33621,Other,No bachelors,0.5,25944
33622,United States of America,Bachelors,10,100000
33623,United States of America,Bachelors,10,192500
33624,Other,No bachelors,10,60048
33625,India,Bachelors,4,62828
33626,Russia,No bachelors,10,31140
33627,India,No bachelors,0.5,26527
33628,United States of America,Bachelors,15,200000
33629,Other,No bachelors,20,19248
33630,France,No bachelors,6,70264
33631,United States of America,Bachelors,20,185000
33632,Germany,Bachelors,1,51888
33633,Germany,No bachelors,5,56211
33634,Russia,No bachelors,7,56616
33635,Poland,No bachelors,20,72288
33636,India,Bachelors,1,10052
33637,Poland,No bachelors,6,64392
33638,Spain,No bachelors,7,90000
33639,Sweden,Bachelors,2,42960
33640,Russia,Bachelors,2,18876
33641,United States of America,Bachelors,3,85000
33642,United States of America,Post-grad,30,120000
33643,United Kingdom,No bachelors,11,168037
33644,Israel,No bachelors,9,122580
33645,India,Bachelors,2,228528
33646,Other,Bachelors,5,43788
33647,Norway,No bachelors,3,82000
33648,United States of America,Bachelors,24,140000
33649,India,Bachelors,5,23037
33650,Other,Bachelors,10,38976
33651,Germany,Bachelors,3,45401
33652,Poland,No bachelors,6,75936
33653,Netherlands,No bachelors,8,46236
33654,Israel,Bachelors,4,59544
33655,United States of America,No bachelors,4,150000
33656,Spain,No bachelors,8,59454
33657,India,Bachelors,5,29320
33658,India,No bachelors,5,11169
33659,Other,No bachelors,0.5,14268
33660,United Kingdom,Bachelors,4,55582
33661,Other,No bachelors,6,87012
33662,Other,No bachelors,4,51888
33663,Other,No bachelors,0.5,15600
33664,Other,No bachelors,10,16548
33665,Other,Bachelors,4,24000
33666,Other,Bachelors,5,19224
33667,France,Bachelors,2,45401
33668,Germany,No bachelors,6,56643
33669,Other,No bachelors,2,14628
33670,Italy,Bachelors,26,75669
33671,United States of America,No bachelors,15,170000
33672,Sweden,Bachelors,5,58908
33673,Poland,No bachelors,2,10632
33674,Italy,Bachelors,5,55907
33675,India,Bachelors,1,23735
33676,United Kingdom,Bachelors,3,68507
33677,France,No bachelors,6,39996
33678,United States of America,Bachelors,1,66500
33679,United States of America,No bachelors,2,60000
33680,Netherlands,No bachelors,5,118908
33681,United States of America,No bachelors,5,192000
33682,United States of America,No bachelors,34,175000
33683,United States of America,Bachelors,2,75000
33684,Other,No bachelors,15,32424
33685,United States of America,Bachelors,25,115000
33686,Other,Bachelors,8,59454
33687,United States of America,No bachelors,3,85000
